test_case_no,Auto_Drift_Estimate,a0,a1,a2,a3,a4,a5,a6,t0,actual_frequency,present_temperature,f0,temp0,executed_requirements,executed_requirement_texts,theoretical_frequency,delfbyf0,deltaf,new_time_period,delta_time_period
11,enabled,2,2,5,0,0,2,0,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
12,enabled,2,2,3,0,1,2,0,50,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
13,enabled,2,2,3,0,1,1,2,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
14,not_enabled,2,2,5,2,0,1,0,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
15,enabled,1,2,3,0,0,1,0,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
16,not_enabled,2,2,3,2,0,2,2,50,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
17,not_enabled,2,2,5,2,0,1,0,90,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
18,enabled,1,2,5,0,1,1,2,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
19,not_enabled,1,2,3,0,0,1,2,90,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
20,not_enabled,1,2,5,0,1,2,2,90,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179897173.0,1439177384000.0,6.948413764409662e-13,-89.9999999999993
21,enabled,1,2,3,0,0,2,0,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
22,enabled,1,2,3,0,0,2,0,50,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
23,not_enabled,2,2,3,2,0,2,2,50,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179720333.0,1437762664000.0,6.955250817639811e-13,-49.999999999999304
24,not_enabled,1,2,5,0,0,1,2,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
25,enabled,2,2,3,2,1,1,2,50,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,175830713.0,1406645704000.0,7.109110641500324e-13,-49.99999999999929
26,enabled,1,2,5,2,0,2,0,90,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,8188972.0,65511776000.0,1.5264429373500195e-11,-89.99999999998474
27,enabled,1,2,5,0,0,2,0,90,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,8170450.0,65363600000.0,1.5299033064392652e-11,-89.9999999999847
28,not_enabled,1,2,3,0,0,2,0,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
29,not_enabled,2,2,5,0,0,1,2,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
30,enabled,1,2,3,0,1,2,0,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
31,not_enabled,1,2,3,0,1,2,2,50,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
32,enabled,2,2,5,0,1,2,2,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
33,not_enabled,1,2,3,0,1,2,2,90,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179896291.0,1439170328000.0,6.948447831264916e-13,-89.9999999999993
34,enabled,2,2,5,0,0,2,2,50,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179702693.0,1437621544000.0,6.95593355990534e-13,-49.999999999999304
35,enabled,2,2,5,2,1,2,0,50,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,8383454.0,67067632000.0,1.4910320387000347e-11,-49.99999999998509
36,enabled,2,2,3,2,1,1,2,90,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,175830713.0,1406645704000.0,7.109110641500324e-13,-89.99999999999929
37,not_enabled,1,2,3,0,1,2,0,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
38,enabled,1,2,3,0,1,1,2,90,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,175812190.0,1406497520000.0,7.109859634250278e-13,-89.99999999999929
39,not_enabled,2,2,3,0,0,2,0,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
40,enabled,1,2,3,2,1,2,2,90,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179914813.0,1439318504000.0,6.947732497447376e-13,-89.9999999999993
41,not_enabled,2,2,5,2,0,2,2,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
42,not_enabled,2,2,3,0,0,1,2,50,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
43,not_enabled,2,2,5,2,0,1,2,90,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,175637114.0,1405096912000.0,7.116946779728191e-13,-89.99999999999929
44,not_enabled,1,2,5,2,1,1,2,50,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,175831594.0,1406652752000.0,7.109075021471539e-13,-49.99999999999929
45,not_enabled,1,2,5,2,0,2,0,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
46,enabled,2,2,5,0,0,2,2,90,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179702693.0,1437621544000.0,6.95593355990534e-13,-89.9999999999993
47,not_enabled,2,2,5,2,1,1,2,50,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,175831595.0,1406652760000.0,7.109074981040381e-13,-49.99999999999929
48,enabled,1,2,3,0,0,1,0,50,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,4085467.0,32683736000.0,3.059624992779285e-11,-49.999999999969404
49,enabled,1,2,5,2,0,1,0,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
50,not_enabled,2,2,3,0,0,1,2,50,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,175617710.0,1404941680000.0,7.117733131141882e-13,-49.99999999999929
51,not_enabled,2,2,5,0,1,2,0,90,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,8364932.0,66919456000.0,1.4943335469632573e-11,-89.99999999998505
52,enabled,2,2,5,2,1,2,2,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
53,not_enabled,2,2,5,2,1,1,2,90,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,175831595.0,1406652760000.0,7.109074981040381e-13,-89.99999999999929
54,enabled,2,2,5,2,1,1,0,50,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,4299353.0,34394824000.0,2.9074135323585823e-11,-49.999999999970925
55,not_enabled,1,2,5,2,0,1,2,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
56,not_enabled,2,2,5,2,1,2,2,90,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179915696.0,1439325568000.0,6.947698398989611e-13,-89.9999999999993
57,enabled,1,2,5,0,0,1,0,90,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,4086349.0,32690792000.0,3.05896460166163e-11,-89.9999999999694
58,enabled,1,2,3,2,0,2,0,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
59,enabled,2,2,5,0,0,2,2,90,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179702693.0,1437621544000.0,6.95593355990534e-13,-89.9999999999993
60,enabled,1,2,5,0,0,2,2,50,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
